,id,main,reply,target,stance_target_47,stance_target_54,stance_target_55,stance_target_67,stance_target_70,stance_target_71,stance_target_73,stance_target_79,majority,label
3609,4493,"""جبل طويق يحتفي باختتام قمة الرياض لقادة #<span class=""stance-tagging"">مجموعة_العشرين</span> بنجاح   @qiddiya https://t.co/QINh5erAeD""",@inspirethewld @qiddiya الحمد لله على نعمة السعودية  اللهم زدنا عزة 🇸🇦❤️,مجموعة العشرين,support,,,support,support,,,,support,0.0
2989,3801,"""فيديو..  ماذا قال <span class=""stance-tagging"">وزير المالية</span> عن ضريبة القيمة المضافة ؟   https://t.co/c6AWhHcsUq""",@SaudiNews50 الله يرحمك يا عبدالله بن عبدالعزيز,وزير المالية,comment,,comment,deny,,,,,comment,2.0
3473,4355,"""علمت مصادر """"الجزيرة"""" أن هيئة الإعلام المرئي أصدرت قرارًا يقضي بسحب ترخيص مزاولة المهنة لإعلامي تلفزيوني، إضافة إلى منعه من الظهور الإعلامي على اثر اتهامات أطلقها ضد لجنة الحكام في """"الاتحاد السعودي لكرة القدم"""" بأنها تحذر الحكام من الوقوع في أخطاء ضد نادي #<span class=""stance-tagging"">الهلال</span> https://t.co/WUerecrnaV""",@ahmad2man من هو,الهلال,query,,,comment,comment,,,,comment,2.0
2850,3641,"""مصادر ❗️  زيادة راتب مستفيدي الضمان الاجتماعي  بالنظام الجديد.  - يحدد الحد الأدنى الأساسي لاحتساب المعاش بقرار من <span class=""stance-tagging"">مجلس الوزارء</span> والاتفاق مع وزارة المالية ووزارة الاقتصاد والتخطيط بما يضمن تغطية الاحتياجات الاساسية للمستفيد https://t.co/3lfCHd7Crh""",@m_r9931 مته الزياده هل هي من الشهر الجاي ولا بداية السنه الجديده,مجلس الوزارء,comment,,,query,comment,,,,comment,2.0
2008,2562,"""عارف يعني إيه تطبيع؟يعني واحد أخد عمارة أبوك عافية وحط إيده عالمسجد اللي تحتها وطردك إنت واخواتك في الشارع، بس العمارة شرعا وقانونا لسة بإسمكم، هو ينقصه بس إعترافك، فتلاقيه رغم قوته وسلاحه بيتسول منك زيارة أو مجرد صورة عشان يقول للناس إنك موافق وماعندكش أي مشكلة معاه <span class=""stance-tagging"">#محمد_رمضان</span>""",@AbdullahElshrif نسي نفسه لما راح يصور مشهد من فيلم رامي الاعتصامي و كان رايح لابس بنطلون زيتي اخضر و حاطط ف جيبه رغيف العيش و مكنش اكل لمده يومين و طلب أنهم يجبولو اكل نسي نفسه المعفن,محمد رمضان,comment,,deny,,deny,,,,deny,1.0
5167,11444,"""ولي العهد الأمير <span class=""stance-tagging"">#محمد_بن_سلمان</span> يطلق مشروع """"ذا لاين"""" في #نيوم عمار يا دارنا 🇸🇦 https://t.co/QBMUSsEsQe  #مشروع_ذا_لاين  #whatisTHELINE""","""@1iTariq @1iTariq لا طير شلوى  ولا طير حوران يقدر  يسد  اللازم  اللي يسدّه  للعز ياطير السعد طير سلمان النادر اللي ما خسر يوم هدّه  حرِِ مواكيره  """"معزّي و راكان"""" جدّد لنا تاريخ """"جدّه .. و جدّه"""" - فخرنا وذخرنا وعزنا أبو سلمان سيدي #ولي_العهد #محمد_بن_سلمان  -الله يحفظه-  ويطول عمره💚🇸🇦💚 https://t.co/B1F8ZngcqM""",محمد بن سلمان,,,,,support,,,support,support,0.0
2813,3603,"""🏹 محمود الونش لاعب الزمالك 🆚 <span class=""stance-tagging"">ياسر إبراهيم</span> لاعب الأهلي 🦅  مدافعان من الطراز الرفيع، مستوى متقارب، من سيقدم مباراة أكبر في نهائي دوري أبطال إفريقيا #TotalCAFCL؟   @ZSCOfficial  | @AlAhly""",@caf_online_AR @ZSCOfficial @AlAhly انا كا اهلاوي.. عندي الونش افضل طبعا افضل مدافع بيعمل تك اوف صح.. بس عمو حسين الشحات.. هيخلي اوف. من غير تك😂😂😂😂😂😂👏,ياسر إبراهيم,comment,,,comment,comment,,,,comment,2.0
6520,31524,"""<span class=""stance-tagging"">توني كروس</span> : كأس العالم في قطر قرارًا خاطئًا.. العمال يعملون بلا توقف ، درجة الحرارة 50 ، مع سوء التغذية وعدم وجود ماء !!!! 🛑🛑🛑🛑 https://t.co/6mCeK1KNI0""",@ReNgo_Sport كأس العالم في قطر ان شاء الله  رغم أنف الكفار 😊😊,توني كروس,,,,,deny,,,deny,deny,1.0
2538,3320,"""لا صحة لما يتداول عن اعتبار <span class=""stance-tagging"">زيت الزيتون</span> أفضل مرطب للبشرة، حيث أن استخدامه على الجلد قد يتسبب في بعض أنواع الحساسية وتكاثر الفطريات المسماة بـ (مالاسيزيا) والتي تتسبب بظهور بقع على البشرة.  #الغذاء_والدواء https://t.co/HznU8Ujl1m""",@Saudi_FDA هالتغريدة تبي تكسر اهم مقدسات الامهات ههههههههههههههههههههههههههههههههههه  اتوقع صعب تتغير هالفكرة إلا اذا داومتو على التحذير منه كل فترة,زيت الزيتون,comment,,,support,comment,,,,comment,2.0
5228,11514,"""سمو <span class=""stance-tagging"">ولي العهد</span> يطلق مشروع """"ذا لاين"""" في نيوم. https://t.co/Vk7M0dYVYI #whatisTHELINE #واس https://t.co/2aFU20KQEg""",@spagov اطلاق مشروع ضخم مثل ذا لاين يجعلنا اكثر تفاؤل وتمسك بسيدي ولي العهد وعمله وطموحاته,ولي العهد,,,,,support,,,support,support,0.0
2394,3116,"""إعلان المجلس الأعلى للبترول برئاسة <span class=""stance-tagging"">محمد بن زايد</span> اكتشاف كميات ضخمة من النفط الخام التقليدي وموارد النفط غير التقليدية، يعزز حضور الدولة في هذه السوق الحيوية ويرفع رصيد ثروتها النفطية مما ينعكس إيجاباً على الدورة الاقتصادية ويزيد من نشاط حركة التنمية. مبارك هذا الاكتشاف الكبير. https://t.co/JNVt7plmsL""",@HazzaBinZayed الحمدلله على نعمة الامارات  وقيادتها ، حفظك الله سيدي بوزايد,محمد بن زايد,support,,support,support,,,,,support,0.0
5493,30130,"""البرازيلي <span class=""stance-tagging"">رونالدو</span> """"الظاهرة"""" يعتذر لجميع الأمهات في العالم بسبب قصة شعره المروعة في كأس العالم 2002م، حيث بدأ المراهقين في تقليده آنذاك بعمل هذه القصة القبيحة حسب قوله مما تسبب في الأذى للأمهات. https://t.co/NBYtORuFT4""",@Eyaaaad النحت اساساً حرام  بس نص الشعب ينحت الله لا يبلانا,رونالدو,,,,,comment,,,comment,comment,2.0
6245,31172,"""تشابك بين عدد من النواب داخل قاعة <span class=""stance-tagging"">مجلس الأمة الكويتي</span>، بعد مشادة حادة وتوتر بين الأعضاء . . . الكويت https://t.co/OeY396aV9F""",@AJELNEWS24 تبحث عن علاج للضـ_ـعف الجنسـ_ـي👇  المستورد من خلاصة الاعشاب الطبيعية😍  كريـ_ـم جاجــ_وار يعمل على👇  1-يؤخر القـ_ـذف  2-يساعد على الانتصـ_ـاب ويقوية  3-يعمل على زيادة الحـ_ـيوانات المنـ_ـوية  4-يناسب مرضى الضغط والقلب  🔴للطلب واتسـ_ـاب في الحساب الرسمي👇 @BarraGuaiqueri 8l0,مجلس الأمة الكويتي,,,,,comment,,,comment,comment,2.0
3962,4864,"""مداخلتي قبل قليل على قناة الجزيرة مباشر بموضوع العلاقات بين <span class=""stance-tagging"">اسرائيل ومصر</span> . اتمنى ان تنال اعجابكم. https://t.co/3IQiSmKFIk""",@EdyCohen لنحن لا زلنا في إنتظار إجابتك على السؤال الأخير..سير إيدي..,اسرائيل ومصر,,comment,,comment,comment,,,,comment,2.0
3613,4498,"""جبل طويق يحتفي باختتام قمة الرياض لقادة #<span class=""stance-tagging"">مجموعة_العشرين</span> بنجاح   @qiddiya https://t.co/QINh5erAeD""",@inspirethewld @qiddiya تتشرف مؤسسة المساء للخدمات بخدمتكم في: وزارة الموارد البشرية وزارة التجارة والاستثمار العمل على برنامج مدد الخاص حماية الأجور منصة مقيم  التأمينات الاجتماعية  الاستقدام  نقل الكفالة   التأمين الطبي  تأمين سيارات  خدمتكم في المرور اصدار تجديد نقل   لتواصل  ابو خميس 0545930879,مجموعة العشرين,comment,,,comment,comment,,,,comment,2.0
4470,10577,"""#عاجل.. وفاة الفنان <span class=""stance-tagging"">#هادى_الجيار</span> متأثرا بإصابته بفيروس كورونا https://t.co/99b4Q7gLsQ""",@youm7 إنا لله وإنا إليه راجعون اللهم اغفر له وارحمة,هادى الجيار,,,,,support,,,support,support,0.0
306,687,"""الاقتصاد الفرنسي يتدهور بعد تعرضه لصدمات قاسية واستمرار <span class=""stance-tagging"">#مقاطعه_المنتجات_الفرنسيه</span>، كيف تعامل #ماكرون مع أزماته؟ https://t.co/CFvzpSwoFA""",@TRTArabi ماكرون: نحن ندعم حرية التعبير بالسخرية من أي شيء الرئيس البرازيلي: زوجة ماكرون عجوز قبيحة ماكرون: هذه قلة أدب ووقاحة وعدم إحترام هذا هو النفاق الفرنسي وازدواجية المعايير يا سادة حلال لنا وحرام عليكم #مقاطعه_المنتجات_الفرنسيه25 https://t.co/4DZ8CF8bHM,مقاطعه المنتجات الفرنسيه,support,support,,,,,,,support,0.0
5768,30513,"""الرئيس المصري <span class=""stance-tagging"">عبد الفتاح السيسي</span>: """"لا يستطيع أحد أخذ نقطة مياه من مصر وإلا ستشهد المنطقة عدم استقرار لا يتصوره أحد""""""",@bbcarabicalerts كلام رئيس  عربي لا يؤخذ بمحمل الجد نفخه كلام ع الهواء,عبد الفتاح السيسي,,,,,deny,,,deny,deny,1.0
2767,3557,"""بعد معاناة طويلة تمكن <span class=""stance-tagging"">الشيخ عبدالمجيد الزنداني</span> من مغادرة #السعودية ووصل إلى #تركيا بفضل الله تعالى. https://t.co/gwk3B6diPE""",@drassagheer ضمن اتفاقية بين السعودية وتركيا وبعد تجريم الاخوان في السعودية لكن هل تم الاشتراط على تركيا بابعادهم عن المجال السياسي او عدم التدخل في الوضع اليمني الله أعلم #مقاطعه_المنتجات_الفرنسيه26,الشيخ عبدالمجيد الزنداني,comment,,,support,comment,,,,comment,2.0
4498,10610,"""#عاجل.. وفاة الفنان <span class=""stance-tagging"">#هادى_الجيار</span> متأثرا بإصابته بفيروس كورونا https://t.co/99b4Q7gLsQ""",@youm7 لاحول ولا قوة الا بالله العلي العظيم، اللهم اغفر له وارحمه واسكنه الفردوس الأعلى وثبته عند السؤال,هادى الجيار,,,,,support,,,support,support,0.0
4239,10187,"""<span class=""stance-tagging"">#البطل_عامر_الشهري</span>  شكراً لمشاعركم الطيبة وأحمد الله اولاً واخراً على فضله وكرمه بأن مكنني من انقاذ الطفل سائلاً الله عزوجل الحفظ والعافيه لنا ولكم🇸🇦🇸🇦 https://t.co/WENgf5zbSZ""",@G_7_O يارب ماخاب من قال يارب  اسأل الله الحي القيوم من مكة ومن جوار بيته الحرام لمن سددوأعان في هذه الفاتورةأن يكفيه همه وييسرأمره وأن يرزقه خيراًممايعطي يارب فاتورة(مسجلة في وزارةالعدل)لرجل في الخمسين اقسم بالله العظيم لولاضررأسرته وأم مريضةماحرج نفسه هناتكفووون وماضاع شي لله https://t.co/y4l3BV375k,البطل عامر الشهري,,,,,comment,,,comment,comment,2.0
5909,30719,"""الروماني <span class=""stance-tagging"">ريجيكامب</span> مدرباً للفريق الأول لكرة القدم..  #الأهلي https://t.co/JYo8XtvuO2""",@ALAHLI_FC لا بارك الله فيكم,ريجيكامب,,,,,deny,,,deny,deny,1.0
5932,30756,"""الروماني <span class=""stance-tagging"">ريجيكامب</span> مدرباً للفريق الأول لكرة القدم..  #الأهلي https://t.co/JYo8XtvuO2""",@ALAHLI_FC نايس ممكن بينجح,ريجيكامب,,,,,support,,,support,support,0.0
6012,30864,"""انفاذًا للأمر الملكي..<span class=""stance-tagging"">جامعة الملك سعود:</span>  بداية الاختبارات النهائية حضوريًا في 13 رمضان عند الساعة التاسعة صباحًا،وبداية الإجازة 24 رمضان.""",@SaudiNews50 غريبه اختي تبدا من ٦ رمضان !,جامعة الملك سعود:,,,,,comment,,,comment,comment,2.0
4303,10299,"""الحمدلله والشكر والفضل يارب العالمين 💙  جاهزية :- <span class=""stance-tagging"">عبدالله المعيوف</span> ، للمشاركة مع  #الهلال الفترة القادمة، عبدالله من الصعب  تعويضه .. بالرغم أن الوطيان مجتهد وجيد  مايقصر دائماً ؛ لكن المعيوف خبرة و ثقة 👌🏻 https://t.co/ka68HZxG8r""",@SirBlue15 @almayuof محد يعوّض المعيوف 😭💔 الحمد لله على رجعته إن شاء الله ما تأثر عليه الإصابة 💙,عبدالله المعيوف,,,,,support,,,support,support,0.0
5173,11450,"""ولي العهد الأمير <span class=""stance-tagging"">#محمد_بن_سلمان</span> يطلق مشروع """"ذا لاين"""" في #نيوم عمار يا دارنا 🇸🇦 https://t.co/QBMUSsEsQe  #مشروع_ذا_لاين  #whatisTHELINE""",@1iTariq مشروع سيضم مدينة “ذا لاين” مجتمعات إدراكية مترابطة وبيئة بلا ضوضاء أو تلوث، وخالية من المركبات والازدحام.  #مشروع_ذا_لاين https://t.co/HdH1qoPbdI,محمد بن سلمان,,,,,support,,,support,support,0.0
3265,4133,"""#كلمة_محمد_بن_سلمان_G20  الامير الملهم <span class=""stance-tagging"">محمد بن سلمان</span> هو املنا هو القائد الذي انتظرناه سنين طويله هو الحلم الذي سيتحقق هو عراب النهضة والتطوير والازدهار هو من سيقودنا الى المعالي دونه ارواحنا واموالنا وكل مانملك نحن سندك يا ابو سلمان نحن جيشك نحن سيفك البتار https://t.co/L4RL99mf5T""",@fff99662 @W__dm120 محمد بن سلمان ما يليق العز الا في سموه 💚,محمد بن سلمان,support,,support,,,,,,support,0.0
2260,2896,"""في يوم تاريخي ..  المملكة تقود العالم ..  وترأس قمة العشرين بالرياض..  <span class=""stance-tagging"">السعودية</span> العظمى فخر وعز وقمة . 🇸🇦🇸🇦🇸🇦 .  . #<span class=""stance-tagging"">السعودية</span>_ترحب_بقادة_العشرين #G20SaudiArabia https://t.co/6bsSVuOhki""",@malgazlanksa قمة الفخر ان ترى منجزات وطنك يتحدث عنها النخبة من دول العالم ، وهذا لم يأت من فراغ بل جهد وتخطيط من قبل ولاة الأمر المخلصين الذين يعملون ليل نهار لكي تكون #السعوديه_العظمى على رأس قائمة الأفضل عالمياً .. #قمه_عالميه_بقياده_السعوديه    #القمه_في_الرياض https://t.co/9HqOoVItp9,السعودية,support,,support,,,,,,support,0.0
213,522,"""استفتاء هل ستنتخب <span class=""stance-tagging"">نوري المالكي</span> ؟ #كويتي_وافتخر 🇰🇼 https://t.co/FtHAob4PCT""",@EEi0whOn0vlnRw1 يستاهل ابو اسراء,نوري المالكي,support,support,,,,,,,support,0.0
4116,10061,"""<span class=""stance-tagging"">#البطل_عامر_الشهري</span>  شكراً لمشاعركم الطيبة وأحمد الله اولاً واخراً على فضله وكرمه بأن مكنني من انقاذ الطفل سائلاً الله عزوجل الحفظ والعافيه لنا ولكم🇸🇦🇸🇦 https://t.co/WENgf5zbSZ""",@G_7_O بيّض الله وجهك (وَمَنْ أَحْيَاهَا فَكَأَنَّمَا أَحْيَا النَّاسَ جَمِيعًا ) هنيئاً لك بالاجر والله يجزاك خير الجزاء ويرزقك من واسع فضله,البطل عامر الشهري,,,,,support,,,support,support,0.0
5735,30461,"""الرئيس المصري <span class=""stance-tagging"">عبد الفتاح السيسي</span>: """"لا يستطيع أحد أخذ نقطة مياه من مصر وإلا ستشهد المنطقة عدم استقرار لا يتصوره أحد""""""",@bbcarabicalerts الله ينور ياريس فقد أثلجت قلوبنا بهذه الكلمات والشعب المصري كله وراك.مصر هبة النيل,عبد الفتاح السيسي,,,,,support,,,support,support,0.0
712,1145,"""لا ليس من استقلال في <span class=""stance-tagging"">لبنان</span> اليوم.<span class=""stance-tagging"">لبنان</span> بلد تهيمن عليه ايران امنياً و سياسياً وتخطف شعبه كرهينة لمفاوضاتها الاقليمية. وهذا واقع لن نسكت عليه، شاء من شاء، شتم من شتم و هدد من هدد.""",@DimaSadek إنت ما عندك شي بالحياة تعملي غير إنو تعوي عإيران أو الحزب بس شايفي إنو إيران عم تتدخل وأصلن انا ما بسدئ هالكذبة بينما الغرب ودول حقراء الخليج ما عم بيتدخلوا ؟! صح إنك وحدة إعلامية مأجورة ومرتزقة بس سدئيني إنك ما حتوصلي لشي وبحب زكرك ببهيم إسمو عقاب صقر هيدا كان متلك يضل يعوي...,لبنان,comment,,,,comment,,,,comment,2.0
3109,3928,"""<span class=""stance-tagging"">#الهلال_النصر</span> توقعاتي للمباراه ... نار ياحبيبي نار .... هنا ملك التوقعات ...... أخطئ مره واصيب الف مره 🙏🙏🙏🙏 https://t.co/J0lVJw2MlT""",@Hassanalsobhan ي ابو صبحان المباراه ثلاثه واحد للهلال وبيسجل النصر اول وبيكسر الدنيا اول عشرين ثلاثين دقيقه وبعدين بيبين عليهم الارهاق وبياكلون ثلاثه او اربعه,الهلال النصر,comment,,support,comment,,,,,comment,2.0
2305,3025,"""برئاسة <span class=""stance-tagging"">#محمد_بن_زايد</span>..المجلس الأعلى للبترول يعلن اكتشاف 2 مليار برميل من النفط الخام التقليدي و22 مليار برميل من موارد النفط غير التقليدية القابلة للاستخلاص. #وام  للتفاصيل: https://t.co/N9Q9zD42Dr https://t.co/ivko78xkXf""",@wamnews @LORDalmahmood الحمدالله دائماً وأبداً.,محمد بن زايد,comment,,repeated,comment,,,,,comment,2.0
1008,1472,"""رئيس الأمن السيبراني لحكومة <span class=""stance-tagging"">#الامارات</span> محمد حمد لم ينف في مقابلة مع صحيفة كلكليست الإسرائيلية استخدام برامج إسرائيلية حسب ما نشرته صحيفة نيويورك تايمز قبل عامين للتجسس على مسؤولين قطريين وسعوديين ، في الوقت الذي أكد استخدام بلاده لبرنامج التجسس """" بيغاسوس """" لشركة NSO الإسرائيلية ..""",@jaberalharmi ياشعب قطر سكتوا أطفالكم  ومرتزقتكم عن  انباح الذي لايحل القضيه  لم ارا احد يحل قضيه وهو داخل شبك أين عقلاكم الذين هم رمز الوطن اشرفا  أليس البقر   من الاستعمار التركي,الامارات,comment,,support,,comment,,,,comment,2.0
6694,31771,"""عاجل 🔴  .  . <span class=""stance-tagging"">وزير الاتصالات</span> :   المملكة العربية السعودية اليوم في المرتبة الثانية عالمياً في تقنية 5 جي. .  . السعودية 🇸🇦🇸🇦""",@AJELNEWS24 ماشاء الله لا قوة الا بالله 👍🏻,وزير الاتصالات,,,,,support,,,support,support,0.0
5956,30793,"""انفاذًا للأمر الملكي..<span class=""stance-tagging"">جامعة الملك سعود:</span>  بداية الاختبارات النهائية حضوريًا في 13 رمضان عند الساعة التاسعة صباحًا،وبداية الإجازة 24 رمضان.""",@SaudiNews50 قدمي هديتك من اروع تصاميمنا للمطليات بالأسماء، نصممها لك بكل دقه  واحتراف😍 لتبقى ذكرى محفوره لها رونق خاص بالقلب https://t.co/IOx47YUQ97,جامعة الملك سعود:,,,,,comment,,,comment,comment,2.0
2090,2650,"""<span class=""stance-tagging"">محمد رمضان</span> الفنان الصعيدي يعانق مطرب صهيوني ويخسر جمهوره العربي الأصيل ، ياخساره وألف خساره ، ألم تعرف أن هناك شعبا عربيا شرد من أراضيه ، وأن أرضه قد أحتلت ومقدساته دنست ، الصهاينة هم إرتكبوا تلك الجرائم ، والمطرب الذي عانقته بارك الإحتلال ، بل مؤكد أنه كان جنديا في جيش المحتل""",@BakryMP محمد رمضان عار على مصر والصعيد,محمد رمضان,deny,,deny,,deny,,,,deny,1.0
5154,11431,"""ولي العهد الأمير <span class=""stance-tagging"">#محمد_بن_سلمان</span> يطلق مشروع """"ذا لاين"""" في #نيوم عمار يا دارنا 🇸🇦 https://t.co/QBMUSsEsQe  #مشروع_ذا_لاين  #whatisTHELINE""","""@1iTariq @لا طير شلوى  ولا طير حوران يقدر  يسد  اللازم  اللي يسدّه  للعز ياطير السعد طير سلمان النادر اللي ما خسر يوم هدّه  حرِِ مواكيره  """"معزّي و راكان"""" جدّد لنا تاريخ """"جدّه .. و جدّه"""" - فخرنا وذخرنا وعزنا أبو سلمان سيدي #ولي_العهد #محمد_بن_سلمان  -الله يحفظه-  ويطول عمره💚🇸🇦💚 https://t.co/0GHgzFPYm1""",محمد بن سلمان,,,,,support,,,support,support,0.0
526,933,"""خرج اليوم من المستشفى الإبن الغالي صاحب القلب الطيب <span class=""stance-tagging"">مروان بن عبدالحكيم بن محمد بن عبدالكريم العبدالله العبدالعزيز المشيقح</span> والذي تبرع لي بجزء من كبده أسأل الله العلي القدير ان يتمم عليه صحته وان يبارك له في حياته""",@almshaiqh الحمدلله على السلامه يالغالي وطهور ان شاء الله والله يجزاء مروان خير الجزاء ويكتب له الاجر والمثوبه ويمن عليكم بالشفاء,مروان بن عبدالحكيم بن محمد بن عبدالكريم العبدالله العبدالعزيز المشيقح,support,,,,support,,,,support,0.0
1013,1477,"""عاجل | السيناتور الديمقراطي كريس مورفي: أتوقع أن يتطرق جو بايدن لمسألة حقوق الإنسان في <span class=""stance-tagging"">#السعودية</span>""",@AJABreaking ماتووو قهررر ماتووو 🤣😂 #G20RiyadhSummit  اتخيل شكل تمتومة وهو يبكي في حضن الحيزبونة الشيطانة الموزة المعفنة😂😂 #السعودية_ترحب_بقادة_العشرين  #السعودية_تقود_العالم,السعودية,comment,,support,,support,,,,support,0.0
1787,2334,"""عاجل | وزير الخارجية السعودي: نؤيد تطبيعا كاملا مع إسرائيل لكن لا بد أولا من اتفاق سلام دائم يضمن دولة <span class=""stance-tagging"">للفلسطينيين</span> https://t.co/1DPP1nlbc6""",@AJArabic انتم مطبعين مع الكيان الصهيوني منذ 1920 عندما استلمتم دولة نجد والحجاز وقتل الامير الشريف علي وبدعم بريطانيا وانتم من قسمتم العرب دويلات في وعد بلفور مقابل استلام ال سعود الحكم وانتم مملكة الشر والداعمين للارهاب والحركات الإرهابية كلقاعده وداعش وطالبان وبوكوحرام والتكفيريين,للفلسطينيين,comment,,comment,,support,,,,comment,2.0
5901,30706,"""الروماني <span class=""stance-tagging"">ريجيكامب</span> مدرباً للفريق الأول لكرة القدم..  #الأهلي https://t.co/JYo8XtvuO2""",@ALAHLI_FC الله يعجّل برحيل من جابك اجل تدريب ثلاثة شهور عقد شغالة مهو مدرب كرة قدم .خلوه يكمل مسلسل هبوط الفريق وخساير بالسته والخمسة هذه مواصفات المدرب https://t.co/enuBwrlbu4,ريجيكامب,,,,,deny,,,deny,deny,1.0
5381,11696,"""كلمة سمو سيدي <span class=""stance-tagging"">#ولي_العهد</span>  #مشروع_ذا_لاين في #نيوم  مشروع جبار وطموح عالي جدا الإنسان أولًا والمحافظة على البيئة وبناء مستقبل مزدهر   #whatisTHELINE https://t.co/sLJLHWfCyz""",@bassam0a الله يحفظه ويطول بعمره  اللهم بارك في هذا المشروع واجعله نواة لمستقبل أفضل شكرا سمو ولي العهد محمد بن سلمان على كل ما تقدمه لرفعة مملكتنا الغالية وتطورها 🇸🇦💚,ولي العهد,,,,,support,,,support,support,0.0
1038,1502,"""تطبيع فني.. الإماراتي حمد المزروعي ينشر عبر حسابه صورة للفنان <span class=""stance-tagging"">#محمد_رمضان</span> خلال زيارته الأخيرة لدبي، برفقة المطرب الإسرائيلي عومير آدام https://t.co/ekc9u7PEdC""",@RassdNewsN اوعى صورة محمد رمضان مع المطرب الإسرائ يلى تنسيك صورة أبو تريكة فى روسيا 2018مع المعلق الإسرائ يلى😎 أصل الجماعة إياهم عاملين نفسهم المدافعين عن القضية وهم أول ناس باعوها #تحيا_مصر https://t.co/7XqUjIA6T1,محمد رمضان,deny,,deny,,deny,,,,deny,1.0
3182,4041,"""بحمدالله وتوفيقه ثم بعزم قيادتنا وجهود السعوديين اختُتمت قمة العشرين برئاسة <span class=""stance-tagging"">السعودية</span> وملكها وولي عهده حفظهما الله ونصرهما بنجاح باهر وحضور مكتمل النصاب. سعادتي كبيرة بقدر تعاسة وخيبة أمل من استماتوا للتشويش على القمة ويطيب لي جدًا  ممارسة أقصى الشماتة معهم من شينها إلى هائها!😁""",@abdulrahman اسويلك CV عصري واحترافي  يميزك عن باقية زملاءك  ويعطيك ميزة البرمجية  بتقنية الانفوجرافيك  للطلب تواصل دايركت  https://t.co/chiTk0TJJr,السعودية,comment,,comment,,,,,,comment,2.0
5783,30541,"""الرئيس المصري <span class=""stance-tagging"">عبد الفتاح السيسي</span>: """"لا يستطيع أحد أخذ نقطة مياه من مصر وإلا ستشهد المنطقة عدم استقرار لا يتصوره أحد""""""",@bbcarabicalerts أتمني أن تهتم مصر بشوارعها الوسخانة والكلاب الملايانة شوارع,عبد الفتاح السيسي,,,,,deny,,,deny,deny,1.0
6657,31715,"""صورة / <span class=""stance-tagging"">النائب سلمان الحليلة</span> يسقط على الارض جراء التلاسن والتشابك بالايدي مع النائب صالح الشلاحي. https://t.co/BuVQ84y5De""",@Almajlliss طلاب مدارس,النائب سلمان الحليلة,,,,,deny,,,deny,deny,1.0
1977,2531,"""السرسجى <span class=""stance-tagging"">محمد رمضان</span> كتب لنفسه النهاية اللى تليق به""",@officialamro1 محمد رمضان شخصية شاذة عن عادات وتقاليد الشعب المصري البطل !!!!! شخص تافه ورخيص,محمد رمضان,deny,,deny,,deny,,,,deny,1.0
1689,2234,"""الملك <span class=""stance-tagging"">سلمان بن عبدالعزيز</span> في قمة الرياض لقادة #مجموعة_العشرين:  """"وإنني على ثقة بأن جهودنا المشتركة خلال قمة الرياض سوف تؤدي إلى آثار مهمة وحاسمة وإقرار سياسات اقتصادية واجتماعية من شأنها إعادة الاطمئنان والأمل لشعوب العالم."""" https://t.co/ykAZjs3DB8""",@inspirethewld يا بعد عمري يا بن سلمان فداك عمري ربنا يخليك و يحفظك من كل شر يا سيد شباب الملكه يا ولا عهدانا,سلمان بن عبدالعزيز,support,,support,,support,,,,support,0.0
1136,1604,"""ما أجمل الفن والموسيقى والسلام! الفنان المصري القدير  <span class=""stance-tagging"">#محمد_رمضان</span> مع الفنان الاسرائيلي المتألق #عومر_ادام في دبي!! https://t.co/M7r60l7k8E""",@AvichayAdraee الفرق بين محمد رمضان وشخص اخر  الكرامة واعتقد  موضوع الكرامة انت ومحمد رمضان مش موجودة فى القاموس للأخلاق عندك انت وهو,محمد رمضان,deny,,deny,,deny,,,,deny,1.0
3176,4012,"""<span class=""stance-tagging"">تركيا</span> تقدم المساعدات الإنسانية وتوفر الحماية لملايين المحتاجين داخل حدود سوريا في إدلب والعديد من الأماكن الأخرى https://t.co/Zel3nnVwLH""",@rterdogan_ar توثيق لانقلاب دبابة صهيونية في غور الاردن 😂 https://t.co/dbehYmuCM2,تركيا,comment,,comment,,,,,,comment,2.0
707,1139,"""لا ليس من استقلال في <span class=""stance-tagging"">لبنان</span> اليوم.<span class=""stance-tagging"">لبنان</span> بلد تهيمن عليه ايران امنياً و سياسياً وتخطف شعبه كرهينة لمفاوضاتها الاقليمية. وهذا واقع لن نسكت عليه، شاء من شاء، شتم من شتم و هدد من هدد.""",@DimaSadek وهيمنة أميركا والسعودية واسرائيل عبر عملائهم في لبنان يساهم في استقلال لبنان؟؟؟,لبنان,comment,,,,comment,,,,comment,2.0
2373,3095,"""<span class=""stance-tagging"">السعودية</span> ألغت مشروع استثمار زراعي كان كفيلا بتشغيل ما لا يقل عن 30 ألف عاطل بالاسابيع الماضية نشرت المليشيات آلاف من عناصرها ببادية المثنى وصحراء الانبار وافتعلت عمليات وهمية وحفرت خنادق بالاراضي المستهدفة للاستثمار لا يسرقون الناس فقط بل يمنعون حصولهم على الرزق خدمة لزراعة إيران""",@othmanmhmmadr لعنة الله على إيران ولعنة الله على كل من يدافع عن إيران,السعودية,comment,,support,comment,,,,,comment,2.0
